VehicleID,LaneNumber,Frame,Timestamp
2,1,1,0.03
1,2,1,0.03
4,1,24,0.8
8,3,41,1.37
9,1,42,1.4
14,3,57,1.9
16,2,65,2.17
18,1,71,2.37
21,2,80,2.67
23,1,81,2.7
24,1,92,3.07
28,1,109,3.63
32,1,144,4.8
36,1,181,6.03
37,1,190,6.33
38,1,196,6.53
45,1,227,7.57
48,1,254,8.47
58,1,278,9.27
57,2,278,9.27
61,2,290,9.67
68,1,309,10.3
72,1,337,11.23
76,1,342,11.4
81,1,349,11.63
86,2,361,12.03
95,1,384,12.8
96,1,387,12.9
101,1,400,13.33
106,1,436,14.53
111,1,496,16.53
115,1,534,17.8
116,1,551,18.37
119,1,568,18.93
122,1,581,19.37
124,1,619,20.63
125,1,649,21.63
134,1,707,23.57
135,2,708,23.6
141,1,734,24.47
143,1,738,24.6
145,2,742,24.73
148,1,754,25.13
150,1,770,25.67
152,1,788,26.27
154,1,796,26.53
155,1,802,26.73
159,1,815,27.17
161,1,822,27.4
165,1,839,27.97
167,1,845,28.17
168,3,849,28.3
169,2,860,28.67
172,1,885,29.5
177,1,911,30.37
176,2,911,30.37
180,2,920,30.67
182,1,932,31.07
183,2,937,31.23
191,2,961,32.03
193,1,964,32.13
192,2,964,32.13
194,2,970,32.33
196,2,973,32.43
197,2,976,32.53
198,1,978,32.6
199,3,979,32.63
201,1,983,32.77
204,1,991,33.03
207,1,997,33.23
208,2,1007,33.57
213,1,1033,34.43
212,1,1035,34.5
214,3,1040,34.67
218,2,1057,35.23
220,1,1064,35.47
223,2,1072,35.73
225,1,1079,35.97
229,2,1092,36.4
231,1,1097,36.57
232,1,1098,36.6
238,1,1117,37.23
242,2,1127,37.57
241,1,1127,37.57
244,2,1133,37.77
248,2,1141,38.03
250,1,1148,38.27
254,2,1153,38.43
256,1,1157,38.57
259,1,1168,38.93
260,2,1175,39.17
263,1,1187,39.57
264,3,1194,39.8
266,3,1200,40.0
269,2,1205,40.17
268,1,1205,40.17
271,2,1206,40.2
273,2,1217,40.57
281,1,1254,41.8
284,1,1264,42.13
283,2,1264,42.13
286,1,1276,42.53
288,2,1284,42.8
287,1,1284,42.8
293,1,1300,43.33
292,1,1301,43.37
294,1,1308,43.6
296,1,1342,44.73
297,1,1344,44.8
298,3,1347,44.9
299,1,1355,45.17
304,1,1384,46.13
308,1,1392,46.4
309,1,1397,46.57
313,1,1404,46.8
316,1,1408,46.93
317,1,1414,47.13
318,3,1419,47.3
321,1,1427,47.57
323,2,1433,47.77
324,1,1440,48.0
325,3,1446,48.2
327,1,1451,48.37
330,1,1467,48.9
332,1,1468,48.93
336,2,1479,49.3
335,2,1479,49.3
337,1,1480,49.33
339,1,1488,49.6
340,1,1497,49.9
342,1,1501,50.03
348,1,1516,50.53
347,2,1517,50.57
350,1,1520,50.67
354,2,1525,50.83
356,3,1526,50.87
353,1,1526,50.87
359,1,1533,51.1
358,2,1533,51.1
362,2,1539,51.3
370,1,1556,51.87
369,2,1556,51.87
371,2,1559,51.97
374,2,1565,52.17
376,3,1570,52.33
377,2,1572,52.4
379,2,1581,52.7
382,1,1593,53.1
384,1,1599,53.3
386,1,1604,53.47
390,1,1625,54.17
391,2,1627,54.23
385,1,1640,54.67
395,2,1642,54.73
396,2,1646,54.87
399,1,1655,55.17
402,2,1669,55.63
404,2,1684,56.13
407,2,1696,56.53
408,1,1704,56.8
411,2,1719,57.3
412,1,1724,57.47
414,2,1725,57.5
413,1,1725,57.5
418,2,1746,58.2
419,1,1747,58.23
424,1,1771,59.03
423,2,1771,59.03
425,2,1774,59.13
426,1,1779,59.3
427,1,1782,59.4
432,2,1794,59.8
433,1,1801,60.03
435,2,1804,60.13
437,1,1814,60.47
439,1,1815,60.5
441,2,1827,60.9
442,1,1828,60.93
448,1,1848,61.6
449,2,1856,61.87
454,1,1867,62.23
455,1,1877,62.57
463,1,1904,63.47
469,2,1937,64.57
475,1,1960,65.33
478,1,1986,66.2
479,2,1994,66.47
480,2,2002,66.73
481,2,2009,66.97
483,1,2024,67.47
486,1,2034,67.8
489,1,2042,68.07
492,1,2048,68.27
491,1,2049,68.3
496,2,2060,68.67
497,2,2064,68.8
501,2,2076,69.2
508,1,2092,69.73
510,1,2095,69.83
511,2,2096,69.87
514,1,2107,70.23
516,1,2109,70.3
518,1,2119,70.63
521,2,2131,71.03
522,1,2134,71.13
523,1,2140,71.33
525,1,2141,71.37
526,1,2152,71.73
530,2,2164,72.13
539,1,2188,72.93
542,1,2200,73.33
551,1,2234,74.47
553,2,2240,74.67
560,1,2266,75.53
561,2,2271,75.7
566,1,2283,76.1
567,1,2285,76.17
568,1,2286,76.2
571,1,2296,76.53
574,1,2307,76.9
577,1,2331,77.7
578,1,2343,78.1
579,1,2350,78.33
580,1,2362,78.73
582,1,2376,79.2
585,1,2396,79.87
586,1,2411,80.37
589,2,2442,81.4
591,1,2457,81.9
594,1,2465,82.17
593,2,2469,82.3
595,1,2476,82.53
596,2,2478,82.6
598,2,2490,83.0
599,1,2494,83.13
600,2,2499,83.3
601,1,2503,83.43
602,2,2510,83.67
606,1,2525,84.17
607,1,2528,84.27
609,2,2535,84.5
612,1,2545,84.83
617,2,2559,85.3
621,2,2589,86.3
622,2,2596,86.53
632,1,2640,88.0
639,1,2686,89.53
642,1,2698,89.93
646,1,2738,91.27
647,1,2762,92.07
651,1,2786,92.87
653,1,2813,93.77
659,1,2888,96.27
662,1,2908,96.93
664,1,2932,97.73
665,1,2937,97.9
667,1,2946,98.2
670,1,2953,98.43
672,1,2962,98.73
676,1,2977,99.23
679,1,3003,100.1
686,1,3070,102.33
690,1,3108,103.6
693,1,3138,104.6
695,2,3150,105.0
694,1,3150,105.0
696,1,3166,105.53
702,1,3188,106.27
703,1,3190,106.33
707,2,3208,106.93
710,1,3213,107.1
712,1,3246,108.2
714,2,3259,108.63
716,2,3269,108.97
717,1,3282,109.4
718,1,3299,109.97
719,1,3312,110.4
720,3,3319,110.63
722,1,3326,110.87
723,2,3327,110.9
724,1,3334,111.13
725,1,3335,111.17
727,2,3337,111.23
730,1,3347,111.57
731,1,3350,111.67
732,1,3363,112.1
734,2,3369,112.3
736,2,3392,113.07
740,1,3450,115.0
741,1,3454,115.13
744,1,3482,116.07
746,3,3492,116.4
749,1,3515,117.17
751,1,3534,117.8
754,1,3571,119.03
756,2,3579,119.3
757,2,3593,119.77
